Subject;Semester;MandatoryOrElectivesubject;Whatkindofsubject;TheoreticalOrPratical;Credits;Category
FundamentalsofComputerEngineering1;1;Mandatory;LectureAndLab;Both;5;ComputerScience
MathematicsI1;1;Mandatory;Lecture;Both;8;Math
MeasurementTechnology;1;Mandatory;Lecture;both;4;EletricalEngineering
MechanicsI1;1;Mandatory;Lecture;both;5;Fundementals
NetworkAnalysis;1;Mandatory;Lecture;both;5;EletricalEngineering
Non-TechnicalSubjects;1;Elective;Lecture;Theoretical;4;E
LogicalDesignofDigitalSystems;2;Mandatory;LectureAndLab;both;5;EletricalEngineering
MathematicsI2;2;Mandatory;Lecture;both;7;Math
Non-TechnicalSubjects;2;Elective;Lecture;Theoretical;4;E
Physics;2;Mandatory;LectureAndLab;both;5;Math
ProceduralProgramming;2;Mandatory;Lecture;both;3;Programming
StaticandStationaryFields;2;Mandatory;Lecture;;5;EletricalEngineering
BetriebswirtschaftfrIngenieure;3;Mandatory;Lecture;both;4;BWL
DiscreteMathematics;3;Mandatory;Lecture;both;5;Math
Elective;3;Elective;Lecture;;4;
ObjektorientierteProgrammierung;3;Mandatory;LectureAndLab;both;4;Programming
RechnernetzeundKommunikationssysteme;3;Mandatory;Lecture;both;4;ComputerScience
TheorielinearerSysteme;3;Mandatory;LectureAndLab;both;5;ComputerScience
WahrscheinlichkeitsrechnungundStatistik;3;Mandatory;Lecture;practical;4;Math
WissenschaftlichesArbeiten;3;Mandatory;Lecture;Theoretical;1;
ComputerBasedEngineeringMathematics;4;Mandatory;LectureAndLab;both;4;Math
Internet-TechnologieundWebEngineering;4;Mandatory;Lecture;both;5;ComputerScience
Nachrichtentechnik;4;Mandatory;Lecture;both;5;Communication
OperatingSystemsandComputerNetworks;4;Mandatory;Lecture;both;3;ComputerScience
Rechnerarchitektur;4;Mandatory;Lecture;both;6;ComputerScience
RegelungstechnikEIT;4;Mandatory;Lecture;both;5;Communication
Elective;5;Elective;Lecture;Both;8;
ElektronischeBauelemente;5;Mandatory;Lecture;Practical;4;EletricalEngineering
IndustrialInternship;5;;Internship;Practical;12;
Praxisprojekt;5;;Project;Practical;6;
RegelungstechnikEITPraktikum;5;Mandatory;Lab;Theoretical;1;Communication
Bachelor-Abschlussarbeit(ISE);6;;Thesis;Both;12;
Bachelor-AbschlussarbeitKolloquium;6;;Thesis;Both;3;
ComputerNetworksLab;6;Mandatory;Lab;Practical;3;ComputerScience
Elective;6;Elective;Lecture;;4;
Mobilkommunikationstechnik;6;Mandatory;Lecture;Both;4;Communication
SicherheitinKommunikationsnetzen;6;Mandatory;Lecture;Both;4;ComputerScience
;;;;;;
;;;;;;
BachelorseminarInformatik;6;Elective;Seminar;Both;5;
DigitaleMedien;6;Elective;Lecture;Both;6;
DigitaleRegelung;6;Elective;Lecture;Both;4;
ElectronicBusiness;6;Elective;Lecture;Both;5;
EmbeddedSystems;6;Elective;Lecture;Both;5;
FortgeschritteneProgrammiertechniken;6;Elective;Lecture;Both;6;
GrundlagenderBildverarbeitung;6;Elective;Lecture;Both;5;
GrundlagenderknstlichenIntelligenz;6;Elective;Lecture;Both;6;
GrundlagenelektronischerSchaltungen;6;Elective;Lecture;Both;4;
Internet-Suchmaschinen;6;Elective;Lecture;Both;6;
Logik;6;Elective;Lecture;Both;6;
Mensch-ComputerInteraktion;6;Elective;Lecture;Both;6;
ModellbildungundSimulation;6;Elective;Lecture;Both;4;
MultimediaSysteme;6;Elective;Lecture;Both;4;
Optischebertragungstechnik;6;Elective;Lecture;Both;4;
Programmierparadigmen;6;Elective;Lecture;Both;6;
Sprachtechnologie;6;Elective;Lecture;Both;6;
